model_name,layer,denoise_index,count,x_t_norm_mean,x_t_norm_std,v_t_norm_mean,v_t_norm_std,suffix_hidden_norm_mean,suffix_hidden_norm_std
ours_v1_corner_12k,3,0,10,40.152682876586915,0.7227868328816696,21.980490112304686,0.7655407228317057,189.73570556640624,0.004905665324841589
ours_v1_corner_12k,3,1,10,39.41870765686035,0.711136534244245,21.87678756713867,0.7409088498181087,189.73653411865234,0.004581822071439034
ours_v1_corner_12k,3,2,10,38.80822563171387,0.6990920891640414,22.04356155395508,0.7262358151024724,189.73351287841797,0.0038626517683638703
ours_v1_corner_12k,3,3,10,38.29023895263672,0.6837761411622278,22.093537712097167,0.6991603952644566,189.73840942382813,0.0033672465653339315
ours_v1_corner_12k,3,4,10,37.85732231140137,0.6649880787444064,22.242618751525878,0.6783136605337051,189.73605194091797,0.0038381993919392758
ours_v1_corner_12k,3,5,10,37.506782913208006,0.6421272108416257,22.610463905334473,0.6589816486392476,189.73798675537108,0.0049229405873154435
ours_v1_corner_12k,3,6,10,37.23564147949219,0.6155751038228549,23.019050788879394,0.6385151251660651,189.7365936279297,0.003558958076812816
ours_v1_corner_12k,3,7,10,37.03524971008301,0.5867000803065844,23.52061195373535,0.6037599662936562,189.73550109863282,0.005029745915190115
ours_v1_corner_12k,3,8,10,36.86625862121582,0.5579612711983307,24.614227485656738,0.6178034906134036,189.73628845214844,0.0020585028286278137
ours_v1_corner_12k,3,9,10,36.6725959777832,0.534821321889572,26.878529930114745,0.585934917954037,189.73572235107423,0.009347654361182666
ours_v1_corner_12k,7,0,10,40.152682876586915,0.7227868328816696,21.980490112304686,0.7655407228317057,189.73570556640624,0.004905665324841589
ours_v1_corner_12k,7,1,10,39.41870765686035,0.711136534244245,21.87678756713867,0.7409088498181087,189.73653411865234,0.004581822071439034
ours_v1_corner_12k,7,2,10,38.80822563171387,0.6990920891640414,22.04356155395508,0.7262358151024724,189.73351287841797,0.0038626517683638703
ours_v1_corner_12k,7,3,10,38.29023895263672,0.6837761411622278,22.093537712097167,0.6991603952644566,189.73840942382813,0.0033672465653339315
ours_v1_corner_12k,7,4,10,37.85732231140137,0.6649880787444064,22.242618751525878,0.6783136605337051,189.73605194091797,0.0038381993919392758
ours_v1_corner_12k,7,5,10,37.506782913208006,0.6421272108416257,22.610463905334473,0.6589816486392476,189.73798675537108,0.0049229405873154435
ours_v1_corner_12k,7,6,10,37.23564147949219,0.6155751038228549,23.019050788879394,0.6385151251660651,189.7365936279297,0.003558958076812816
ours_v1_corner_12k,7,7,10,37.03524971008301,0.5867000803065844,23.52061195373535,0.6037599662936562,189.73550109863282,0.005029745915190115
ours_v1_corner_12k,7,8,10,36.86625862121582,0.5579612711983307,24.614227485656738,0.6178034906134036,189.73628845214844,0.0020585028286278137
ours_v1_corner_12k,7,9,10,36.6725959777832,0.534821321889572,26.878529930114745,0.585934917954037,189.73572235107423,0.009347654361182666
ours_v1_corner_12k,11,0,10,40.152682876586915,0.7227868328816696,21.980490112304686,0.7655407228317057,189.73570556640624,0.004905665324841589
ours_v1_corner_12k,11,1,10,39.41870765686035,0.711136534244245,21.87678756713867,0.7409088498181087,189.73653411865234,0.004581822071439034
ours_v1_corner_12k,11,2,10,38.80822563171387,0.6990920891640414,22.04356155395508,0.7262358151024724,189.73351287841797,0.0038626517683638703
ours_v1_corner_12k,11,3,10,38.29023895263672,0.6837761411622278,22.093537712097167,0.6991603952644566,189.73840942382813,0.0033672465653339315
ours_v1_corner_12k,11,4,10,37.85732231140137,0.6649880787444064,22.242618751525878,0.6783136605337051,189.73605194091797,0.0038381993919392758
ours_v1_corner_12k,11,5,10,37.506782913208006,0.6421272108416257,22.610463905334473,0.6589816486392476,189.73798675537108,0.0049229405873154435
ours_v1_corner_12k,11,6,10,37.23564147949219,0.6155751038228549,23.019050788879394,0.6385151251660651,189.7365936279297,0.003558958076812816
ours_v1_corner_12k,11,7,10,37.03524971008301,0.5867000803065844,23.52061195373535,0.6037599662936562,189.73550109863282,0.005029745915190115
ours_v1_corner_12k,11,8,10,36.86625862121582,0.5579612711983307,24.614227485656738,0.6178034906134036,189.73628845214844,0.0020585028286278137
