model_a,model_b,denoise_index,count,v_t_l2_mean,v_t_l2_std,v_t_cosine_mean,v_t_cosine_std,x_t_l2_mean,x_t_l2_std,hidden_cosine_mean,hidden_cosine_std
ours_v1_corner_12k,ours_v2_corner_12k,0,10,5.390871286392212,0.3182729904789752,0.969873559474945,0.00325667125886255,0.0,0.0,0.9690833628177643,0.0014772507353843635
ours_v1_corner_12k,ours_v2_corner_12k,1,10,5.394353914260864,0.33843025503360646,0.9694651424884796,0.003677181058669565,0.5390871196985245,0.031827274002662435,0.9676096677780152,0.0016978025945724726
ours_v1_corner_12k,ours_v2_corner_12k,2,10,5.5338317394256595,0.35833649408084983,0.968240475654602,0.004031743771000634,1.074912416934967,0.0652309996241192,0.9658963918685913,0.0019275866918185844
ours_v1_corner_12k,ours_v2_corner_12k,3,10,5.642163038253784,0.38818636332138184,0.9668964564800262,0.004414427310915724,1.6210794687271117,0.10025872452855426,0.9638880789279938,0.0022147100292501986
ours_v1_corner_12k,ours_v2_corner_12k,4,10,5.783005046844482,0.4514289628356689,0.9655714750289917,0.005212498498238358,2.1733166456222532,0.13751883604738246,0.9608702957630157,0.0026408496083224955
ours_v1_corner_12k,ours_v2_corner_12k,5,10,6.037034702301026,0.5495964176244575,0.9636213719844818,0.006207837513656241,2.7328540802001955,0.17944535499674627,0.9574113249778747,0.0029887161288779467
ours_v1_corner_12k,ours_v2_corner_12k,6,10,6.525873041152954,0.7116720442329157,0.9587914824485779,0.0083240439693795,3.3107388496398924,0.23124376181823303,0.952443391084671,0.0036904760003217125
ours_v1_corner_12k,ours_v2_corner_12k,7,10,7.473668766021729,1.0473937168318828,0.9480492234230041,0.013217749140763336,3.91641845703125,0.29980964576256197,0.9453347086906433,0.005231919374832804
ours_v1_corner_12k,ours_v2_corner_12k,8,10,8.75455379486084,1.4739102514802336,0.9346042275428772,0.01953913128555332,4.577863502502441,0.3989030544542399,0.934770381450653,0.008089697313097074
ours_v1_corner_12k,ours_v2_corner_12k,9,10,10.518893718719482,1.6088752599905878,0.9216379940509796,0.021018742233308366,5.294120121002197,0.541090591300319,0.9198770582675934,0.012627204584216237
ours_v1_corner_12k,ours_v3_corner_12k,0,10,9.131959867477416,1.3760571967153654,0.9126168429851532,0.02811533869617764,0.0,0.0,0.9351768553256988,0.009823125544105221
ours_v1_corner_12k,ours_v3_corner_12k,1,10,9.372283363342286,1.4122925995173892,0.9068080186843872,0.02964594166476763,0.9131960153579712,0.13760573367749795,0.932729035615921,0.010424518842799787
ours_v1_corner_12k,ours_v3_corner_12k,2,10,9.739109563827515,1.450017503497419,0.9010731160640717,0.03100480225237058,1.8476429224014281,0.27883532975909675,0.9287303388118744,0.011178861231751339
ours_v1_corner_12k,ours_v3_corner_12k,3,10,10.10522165298462,1.5021737200636294,0.8945171356201171,0.03261255563055525,2.8165186166763307,0.4238888984925705,0.9241171658039093,0.01217321710610929
ours_v1_corner_12k,ours_v3_corner_12k,4,10,10.53134651184082,1.599268592862113,0.8880602061748505,0.03496251492346802,3.819489669799805,0.5739820273557379,0.9181744992733002,0.013513819868602759
ours_v1_corner_12k,ours_v3_corner_12k,5,10,11.170881748199463,1.6477599167237038,0.8773397326469421,0.03641139928509628,4.8566539764404295,0.7338664294650712,0.9095756769180298,0.014911201253101478
ours_v1_corner_12k,ours_v3_corner_12k,6,10,12.003803730010986,1.7185561641755047,0.8651083946228028,0.038013468064168374,5.948074388504028,0.900064043997134,0.8977505981922149,0.016857692642150722
ours_v1_corner_12k,ours_v3_corner_12k,7,10,12.781291961669922,1.7961676506067143,0.8562354862689971,0.03866203749208587,7.098109102249145,1.0761835353544733,0.8824847042560577,0.01944911157449764
ours_v1_corner_12k,ours_v3_corner_12k,8,10,14.352321529388428,1.7569256628118888,0.8415809750556946,0.03564420755504814,8.288306856155396,1.266079231655257,0.8609359920024872,0.02265366705175936
ours_v1_corner_12k,ours_v3_corner_12k,9,10,16.976075839996337,1.7487357965456718,0.8377847254276276,0.02762939757225857,9.55216851234436,1.4571497935298445,0.8366911888122559,0.02744586538557553
ours_v1_corner_12k,ours_v4_corner_12k,0,10,10.035570096969604,1.293159405945727,0.9015376627445221,0.026544031025554957,0.0,0.0,0.9287441968917847,0.009722033834211954
ours_v1_corner_12k,ours_v4_corner_12k,1,10,10.31637716293335,1.3114887097568275,0.8949332892894745,0.02785471197220351,1.0035570800304412,0.12931596591178968,0.9242881894111633,0.010454050454587754
ours_v1_corner_12k,ours_v4_corner_12k,2,10,10.516487979888916,1.3677796216161748,0.8917777180671692,0.02920418271059447,2.032520020008087,0.26056631470419983,0.9199064135551452,0.011284748866735578
ours_v1_corner_12k,ours_v4_corner_12k,3,10,10.732062196731567,1.4303738154950212,0.8890725493431091,0.030137473911313092,3.0790170192718507,0.3973700999447481,0.9138815701007843,0.012358555470729954
ours_v1_corner_12k,ours_v4_corner_12k,4,10,11.006651687622071,1.500059150817763,0.886070841550827,0.03133081297935786,4.144359159469604,0.5401672340374236,0.9073291063308716,0.013865730608716147
ours_v1_corner_12k,ours_v4_corner_12k,5,10,11.481551170349121,1.5691460619984932,0.8794612169265748,0.03243009827297143,5.230238699913025,0.690007445661926,0.8988639712333679,0.015590273131434945
ours_v1_corner_12k,ours_v4_corner_12k,6,10,11.982384967803956,1.613872959559436,0.8741202235221863,0.032279832417907744,6.354124069213867,0.8470894575002227,0.8882020115852356,0.017667565722303803
ours_v1_corner_12k,ours_v4_corner_12k,7,10,12.729688835144042,1.7078009782385628,0.8667682051658631,0.03237749168935366,7.501545858383179,1.0115134716137606,0.873289966583252,0.02064861489073712
