model_name,method,phase,reached_count,total_count,reached_ratio
ours_v1_corner_12k,ours_v1,initial,7,7,1.0
ours_v1_corner_12k,ours_v1,post_grasp,0,7,0.0
ours_v1_corner_12k,ours_v1,pre_grasp,0,7,0.0
ours_v1_corner_12k,ours_v1,pre_place,0,7,0.0
ours_v2_corner_12k,ours_v2,initial,7,7,1.0
ours_v2_corner_12k,ours_v2,post_grasp,0,7,0.0
ours_v2_corner_12k,ours_v2,pre_grasp,0,7,0.0
ours_v2_corner_12k,ours_v2,pre_place,0,7,0.0
ours_v3_corner_12k,ours_v3,initial,7,7,1.0
ours_v3_corner_12k,ours_v3,post_grasp,0,7,0.0
ours_v3_corner_12k,ours_v3,pre_grasp,0,7,0.0
ours_v3_corner_12k,ours_v3,pre_place,0,7,0.0
ours_v4_corner_12k,ours_v4,initial,6,6,1.0
ours_v4_corner_12k,ours_v4,post_grasp,0,6,0.0
ours_v4_corner_12k,ours_v4,pre_grasp,0,6,0.0
ours_v4_corner_12k,ours_v4,pre_place,0,6,0.0
random_corner_12k,random,initial,6,6,1.0
random_corner_12k,random,post_grasp,0,6,0.0
random_corner_12k,random,pre_grasp,0,6,0.0
random_corner_12k,random,pre_place,0,6,0.0
uniform_corner_12k,uniform,initial,6,6,1.0
uniform_corner_12k,uniform,post_grasp,0,6,0.0
uniform_corner_12k,uniform,pre_grasp,0,6,0.0
uniform_corner_12k,uniform,pre_place,0,6,0.0
zero_corner_12k,zero,initial,6,6,1.0
zero_corner_12k,zero,post_grasp,0,6,0.0
zero_corner_12k,zero,pre_grasp,0,6,0.0
zero_corner_12k,zero,pre_place,0,6,0.0
