model_name,method,camera,seed,phase,success,grasp_reached,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,language_mass,state_mass,suffix_mass,other_mass
random_corner_16k,random,"corner,gripperPOV",10042,initial,,,0,joint_self,227,227,50,0.2905026972293854,0.5254275798797607,0.06430970877408981,0.004694982431828976,0.11506504565477371,0.0
random_corner_16k,random,"corner,gripperPOV",10042,initial,,,3,expert_cross,50,177,50,0.3681893050670624,0.3019202947616577,0.17197784781455994,0.15791256725788116,0,0.0
random_corner_16k,random,"corner,gripperPOV",10042,initial,,,7,expert_cross,50,177,50,0.35001370310783386,0.3135536015033722,0.2402736246585846,0.09615913033485413,0,0.0
random_corner_16k,random,"corner,gripperPOV",10042,initial,,,11,expert_cross,50,177,50,0.4242369830608368,0.4251575469970703,0.13210849463939667,0.018497036769986153,0,0.0
uniform_corner_16k,uniform,"corner,gripperPOV",10042,initial,,,0,joint_self,227,227,50,0.30319052934646606,0.5031126141548157,0.06962848454713821,0.008572326973080635,0.11549602448940277,2.0489096641540527e-08
uniform_corner_16k,uniform,"corner,gripperPOV",10042,initial,,,3,expert_cross,50,177,50,0.38073721528053284,0.30946019291877747,0.1641961634159088,0.14560645818710327,0,0.0
uniform_corner_16k,uniform,"corner,gripperPOV",10042,initial,,,7,expert_cross,50,177,50,0.3569886088371277,0.2933907210826874,0.2473413348197937,0.10227935761213303,0,0.0
uniform_corner_16k,uniform,"corner,gripperPOV",10042,initial,,,11,expert_cross,50,177,50,0.4203537106513977,0.42070385813713074,0.136402890086174,0.02253952994942665,0,1.1175870895385742e-08
ours_corner_16k,ours,"corner,gripperPOV",10042,initial,,,0,joint_self,227,227,50,0.30300331115722656,0.5029045939445496,0.06394534558057785,0.006775743328034878,0.12337099015712738,1.5832483768463135e-08
ours_corner_16k,ours,"corner,gripperPOV",10042,initial,,,3,expert_cross,50,177,50,0.3686538636684418,0.3104002773761749,0.16904984414577484,0.15189599990844727,0,1.4901161193847656e-08
ours_corner_16k,ours,"corner,gripperPOV",10042,initial,,,7,expert_cross,50,177,50,0.3831169009208679,0.32971203327178955,0.23541781306266785,0.051753245294094086,0,7.450580596923828e-09
ours_corner_16k,ours,"corner,gripperPOV",10042,initial,,,11,expert_cross,50,177,50,0.3923519253730774,0.40931159257888794,0.1667708158493042,0.031565677374601364,0,0.0
random_corner2_16k,random,"corner2,gripperPOV",10042,initial,,,0,joint_self,227,227,50,0.2792612314224243,0.539729654788971,0.06066124886274338,0.003844829276204109,0.11650308966636658,0.0
random_corner2_16k,random,"corner2,gripperPOV",10042,initial,,,3,expert_cross,50,177,50,0.3960201144218445,0.26332104206085205,0.15873655676841736,0.18192225694656372,0,2.9802322387695312e-08
random_corner2_16k,random,"corner2,gripperPOV",10042,initial,,,7,expert_cross,50,177,50,0.36999982595443726,0.2884882986545563,0.2544300854206085,0.08708181977272034,0,0.0
random_corner2_16k,random,"corner2,gripperPOV",10042,initial,,,11,expert_cross,50,177,50,0.41242194175720215,0.4190157353878021,0.14803297817707062,0.020529283210635185,0,6.146728992462158e-08
uniform_corner2_16k,uniform,"corner2,gripperPOV",10042,initial,,,0,joint_self,227,227,50,0.2710109353065491,0.5411291718482971,0.06065084785223007,0.00359349325299263,0.12361554801464081,3.725290298461914e-09
uniform_corner2_16k,uniform,"corner2,gripperPOV",10042,initial,,,3,expert_cross,50,177,50,0.3724237084388733,0.27764812111854553,0.17995835840702057,0.16996978223323822,0,2.9802322387695312e-08
uniform_corner2_16k,uniform,"corner2,gripperPOV",10042,initial,,,7,expert_cross,50,177,50,0.35406482219696045,0.3113326132297516,0.2559323012828827,0.07867024838924408,0,1.4901161193847656e-08
uniform_corner2_16k,uniform,"corner2,gripperPOV",10042,initial,,,11,expert_cross,50,177,50,0.39157748222351074,0.3991335928440094,0.18108761310577393,0.02820134535431862,0,0.0
random_corner3_16k,random,"corner3,gripperPOV",10042,initial,,,0,joint_self,227,227,50,0.2884403169155121,0.5308656692504883,0.06347594410181046,0.004435988608747721,0.11278212815523148,0.0
random_corner3_16k,random,"corner3,gripperPOV",10042,initial,,,3,expert_cross,50,177,50,0.3998166024684906,0.27584993839263916,0.16545991599559784,0.15887349843978882,0,4.470348358154297e-08
random_corner3_16k,random,"corner3,gripperPOV",10042,initial,,,7,expert_cross,50,177,50,0.3304886519908905,0.30681368708610535,0.26869314908981323,0.09400457888841629,0,0.0
random_corner3_16k,random,"corner3,gripperPOV",10042,initial,,,11,expert_cross,50,177,50,0.3895927667617798,0.41462603211402893,0.17015069723129272,0.025630490854382515,0,1.30385160446167e-08
uniform_corner3_16k,uniform,"corner3,gripperPOV",10042,initial,,,0,joint_self,227,227,50,0.27358347177505493,0.5336729288101196,0.06149055063724518,0.0038948606234043837,0.12735813856124878,4.959292709827423e-08
uniform_corner3_16k,uniform,"corner3,gripperPOV",10042,initial,,,3,expert_cross,50,177,50,0.3513108193874359,0.28857845067977905,0.19506917893886566,0.16504153609275818,0,1.4901161193847656e-08
uniform_corner3_16k,uniform,"corner3,gripperPOV",10042,initial,,,7,expert_cross,50,177,50,0.31369128823280334,0.2868686616420746,0.29508572816848755,0.10435430705547333,0,1.4901161193847656e-08
uniform_corner3_16k,uniform,"corner3,gripperPOV",10042,initial,,,11,expert_cross,50,177,50,0.3832550346851349,0.41893917322158813,0.16928842663764954,0.028517356142401695,0,9.313225746154785e-09
ours_corner3_16k,ours,"corner3,gripperPOV",10042,initial,,,0,joint_self,227,227,50,0.26914656162261963,0.5432024598121643,0.06058250367641449,0.0037039355374872684,0.12336447834968567,6.100162863731384e-08
ours_corner3_16k,ours,"corner3,gripperPOV",10042,initial,,,3,expert_cross,50,177,50,0.34815844893455505,0.26448872685432434,0.19165100157260895,0.19570188224315643,0,0.0
ours_corner3_16k,ours,"corner3,gripperPOV",10042,initial,,,7,expert_cross,50,177,50,0.3291855752468109,0.31765446066856384,0.2722735106945038,0.08088649064302444,0,0.0
ours_corner3_16k,ours,"corner3,gripperPOV",10042,initial,,,11,expert_cross,50,177,50,0.38944870233535767,0.41407039761543274,0.16364525258541107,0.032835666090250015,0,0.0
