model_name,method,camera,seed,phase,success,grasp_reached,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,language_mass,state_mass,suffix_mass,other_mass
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10042,initial,False,False,3,expert_cross,50,177,50,0.3674226999282837,0.31182345747947693,0.1702912598848343,0.15046259760856628,0,0.0
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10042,initial,False,False,7,expert_cross,50,177,50,0.38263797760009766,0.33100536465644836,0.23493869602680206,0.051417939364910126,0,2.2351741790771484e-08
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10042,initial,False,False,11,expert_cross,50,177,50,0.39581498503685,0.41111186146736145,0.16347697377204895,0.029596146196126938,0,3.3527612686157227e-08
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,initial,False,False,3,expert_cross,50,177,50,0.35992810130119324,0.30952706933021545,0.1752764880657196,0.1552683413028717,0,0.0
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,initial,False,False,7,expert_cross,50,177,50,0.3676544725894928,0.3218800127506256,0.25287115573883057,0.05759432911872864,0,2.9802322387695312e-08
ours_v2_corner_12k,ours_v2,"corner,gripperPOV",10042,initial,False,False,11,expert_cross,50,177,50,0.3963584303855896,0.41390469670295715,0.16660535335540771,0.023131515830755234,0,3.725290298461914e-09
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10042,initial,False,False,3,expert_cross,50,177,50,0.3570987284183502,0.3092922568321228,0.18353882431983948,0.15007023513317108,0,0.0
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10042,initial,False,False,7,expert_cross,50,177,50,0.3718297481536865,0.31048235297203064,0.23822633922100067,0.07946159690618515,0,0.0
ours_v3_corner_12k,ours_v3,"corner,gripperPOV",10042,initial,False,False,11,expert_cross,50,177,50,0.43919581174850464,0.4146203100681305,0.12733496725559235,0.018848950043320656,0,0.0
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10042,initial,False,False,3,expert_cross,50,177,50,0.35084155201911926,0.2853122651576996,0.1998811513185501,0.16396506130695343,0,0.0
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10042,initial,False,False,7,expert_cross,50,177,50,0.3551640510559082,0.29922041296958923,0.2444928139448166,0.10112269222736359,0,2.9802322387695312e-08
ours_v4_corner_12k,ours_v4,"corner,gripperPOV",10042,initial,False,False,11,expert_cross,50,177,50,0.4303015172481537,0.40106910467147827,0.14682790637016296,0.021801434457302094,0,3.725290298461914e-08
