camera,model_a,model_b,denoise_index,timestep,v_t_l2,v_t_cosine,x_t_l2,hidden_cosine
"corner3,gripperPOV",random_corner3_16k,uniform_corner3_16k,0,1.0,4.65083646774292,0.9804322123527527,0.0,0.9737087488174438
"corner3,gripperPOV",random_corner3_16k,uniform_corner3_16k,1,0.8999999761581421,4.510779857635498,0.9813035130500793,0.46508365869522095,0.9728717803955078
"corner3,gripperPOV",random_corner3_16k,uniform_corner3_16k,2,0.800000011920929,4.558746337890625,0.9810812473297119,0.912330150604248,0.9718849062919617
"corner3,gripperPOV",random_corner3_16k,uniform_corner3_16k,3,0.699999988079071,4.788762092590332,0.9794045686721802,1.3609983921051025,0.9708777666091919
"corner3,gripperPOV",random_corner3_16k,uniform_corner3_16k,4,0.6000000238418579,4.910177230834961,0.9791826605796814,1.823918104171753,0.9688750505447388
"corner3,gripperPOV",random_corner3_16k,uniform_corner3_16k,5,0.5,5.304930686950684,0.9762881398200989,2.2906394004821777,0.9662418365478516
"corner3,gripperPOV",random_corner3_16k,uniform_corner3_16k,6,0.4000000059604645,5.882970333099365,0.9721437692642212,2.781390905380249,0.9619163274765015
"corner3,gripperPOV",random_corner3_16k,uniform_corner3_16k,7,0.30000001192092896,6.312158107757568,0.9700895547866821,3.3135986328125,0.9574090242385864
"corner3,gripperPOV",random_corner3_16k,uniform_corner3_16k,8,0.20000000298023224,6.657768726348877,0.970309853553772,3.8769376277923584,0.9503891468048096
"corner3,gripperPOV",random_corner3_16k,uniform_corner3_16k,9,0.10000000149011612,8.68234634399414,0.9614536166191101,4.414466857910156,0.9405019283294678
"corner3,gripperPOV",random_corner3_16k,ours_corner3_16k,0,1.0,7.239479064941406,0.9534246325492859,0.0,0.9631341099739075
"corner3,gripperPOV",random_corner3_16k,ours_corner3_16k,1,0.8999999761581421,7.140058994293213,0.9546180367469788,0.7239481210708618,0.9612979292869568
"corner3,gripperPOV",random_corner3_16k,ours_corner3_16k,2,0.800000011920929,7.433005332946777,0.9515884518623352,1.4353505373001099,0.9583914279937744
"corner3,gripperPOV",random_corner3_16k,ours_corner3_16k,3,0.699999988079071,7.42543363571167,0.9525056481361389,2.1731739044189453,0.9550480842590332
"corner3,gripperPOV",random_corner3_16k,ours_corner3_16k,4,0.6000000238418579,7.511497497558594,0.9522576928138733,2.9062020778656006,0.9510778188705444
"corner3,gripperPOV",random_corner3_16k,ours_corner3_16k,5,0.5,7.812361240386963,0.9497266411781311,3.6420204639434814,0.9450531005859375
"corner3,gripperPOV",random_corner3_16k,ours_corner3_16k,6,0.4000000059604645,8.392913818359375,0.9448169469833374,4.397402763366699,0.9363148212432861
"corner3,gripperPOV",random_corner3_16k,ours_corner3_16k,7,0.30000001192092896,9.02517318725586,0.9401914477348328,5.1891560554504395,0.925990879535675
"corner3,gripperPOV",random_corner3_16k,ours_corner3_16k,8,0.20000000298023224,9.67507266998291,0.9384059309959412,6.019782066345215,0.9131823182106018
"corner3,gripperPOV",random_corner3_16k,ours_corner3_16k,9,0.10000000149011612,10.539623260498047,0.9413213729858398,6.861639499664307,0.8962569236755371
"corner3,gripperPOV",uniform_corner3_16k,ours_corner3_16k,0,1.0,7.554980278015137,0.949535608291626,0.0,0.9573066234588623
"corner3,gripperPOV",uniform_corner3_16k,ours_corner3_16k,1,0.8999999761581421,7.525725841522217,0.949728786945343,0.7554981112480164,0.9553402662277222
"corner3,gripperPOV",uniform_corner3_16k,ours_corner3_16k,2,0.800000011920929,7.708995819091797,0.9481267929077148,1.5046461820602417,0.9528476595878601
"corner3,gripperPOV",uniform_corner3_16k,ours_corner3_16k,3,0.699999988079071,7.950658798217773,0.9456727504730225,2.2705702781677246,0.9491090774536133
"corner3,gripperPOV",uniform_corner3_16k,ours_corner3_16k,4,0.6000000238418579,7.96967887878418,0.9467281103134155,3.057612895965576,0.9457125663757324
"corner3,gripperPOV",uniform_corner3_16k,ours_corner3_16k,5,0.5,8.070660591125488,0.9468898773193359,3.8395321369171143,0.9408538341522217
"corner3,gripperPOV",uniform_corner3_16k,ours_corner3_16k,6,0.4000000059604645,8.401251792907715,0.9452136754989624,4.623894691467285,0.9340804815292358
"corner3,gripperPOV",uniform_corner3_16k,ours_corner3_16k,7,0.30000001192092896,8.874584197998047,0.9428253769874573,5.421745777130127,0.9269171357154846
"corner3,gripperPOV",uniform_corner3_16k,ours_corner3_16k,8,0.20000000298023224,9.885273933410645,0.9362568855285645,6.247509956359863,0.9167602062225342
"corner3,gripperPOV",uniform_corner3_16k,ours_corner3_16k,9,0.10000000149011612,12.88383674621582,0.9152459502220154,7.1269307136535645,0.9008155465126038
