model,step,v_t_norm
random,0,20.279436111450195
random,1,20.253284454345703
random,2,20.44890785217285
random,3,20.60187339782715
random,4,20.963138580322266
random,5,21.376867294311523
random,6,22.147994995117188
random,7,23.268779754638672
random,8,25.53457260131836
random,9,29.293155670166016
ours,0,20.731447219848633
ours,1,20.70294952392578
ours,2,20.87946128845215
ours,3,21.06780242919922
ours,4,21.339426040649414
ours,5,21.83285903930664
ours,6,22.37160301208496
ours,7,23.271808624267578
ours,8,24.81239891052246
ours,9,27.53948211669922
uniform,0,20.004335403442383
uniform,1,19.96645736694336
uniform,2,20.06133460998535
uniform,3,20.2419376373291
uniform,4,20.504240036010742
uniform,5,20.910625457763672
uniform,6,21.547548294067383
uniform,7,22.471221923828125
uniform,8,24.237335205078125
uniform,9,28.14426612854004
