model_name,method,camera,seed,eval_task_success,eval_grasp_success,denoise_index,timestep,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,visual_total,language_mass,state_mass,suffix_mass,other_mass,x_t_norm,v_t_norm,suffix_hidden_norm
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10042,20.0,90.0,0,1.0,3,expert_cross,50,177,50,0.3589527904987335,0.1937665194272995,0.552719309926033,0.15184324979782104,0.29543742537498474,0.0,1.4901161193847656e-08,40.96978759765625,21.0101261138916,189.73532104492188
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10042,20.0,90.0,0,1.0,7,expert_cross,50,177,50,0.35127466917037964,0.25737348198890686,0.6086481511592865,0.23157817125320435,0.15977372229099274,0.0,0.0,40.96978759765625,21.0101261138916,189.73532104492188
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10042,20.0,90.0,0,1.0,11,expert_cross,50,177,50,0.26087719202041626,0.2162463217973709,0.47712351381778717,0.43991076946258545,0.08296574652194977,0.0,0.0,40.96978759765625,21.0101261138916,189.73532104492188
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10042,20.0,90.0,1,0.8999999761581421,3,expert_cross,50,177,50,0.35783651471138,0.19358691573143005,0.5514234304428101,0.15213754773139954,0.2964390516281128,0.0,0.0,40.27229690551758,20.981645584106445,189.72796630859375
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10042,20.0,90.0,1,0.8999999761581421,7,expert_cross,50,177,50,0.35076794028282166,0.2548111081123352,0.6055790483951569,0.2336902916431427,0.16073070466518402,0.0,0.0,40.27229690551758,20.981645584106445,189.72796630859375
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10042,20.0,90.0,1,0.8999999761581421,11,expert_cross,50,177,50,0.2584299147129059,0.21346817910671234,0.4718980938196182,0.44343844056129456,0.08466343581676483,0.0,2.9802322387695312e-08,40.27229690551758,20.981645584106445,189.72796630859375
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10042,20.0,90.0,2,0.800000011920929,3,expert_cross,50,177,50,0.3555122911930084,0.19412676990032196,0.5496390610933304,0.15245740115642548,0.29790350794792175,0.0,2.9802322387695312e-08,39.68560791015625,21.19646453857422,189.7415313720703
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10042,20.0,90.0,2,0.800000011920929,7,expert_cross,50,177,50,0.3515641391277313,0.2533528804779053,0.6049170196056366,0.23411817848682404,0.16096486151218414,0.0,0.0,39.68560791015625,21.19646453857422,189.7415313720703
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10042,20.0,90.0,2,0.800000011920929,11,expert_cross,50,177,50,0.25745341181755066,0.21263478696346283,0.4700881987810135,0.4446338713169098,0.08527790009975433,0.0,2.9802322387695312e-08,39.68560791015625,21.19646453857422,189.7415313720703
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10042,20.0,90.0,3,0.699999988079071,3,expert_cross,50,177,50,0.35361719131469727,0.19551074504852295,0.5491279363632202,0.1521969437599182,0.29867517948150635,0.0,0.0,39.17766571044922,21.343509674072266,189.7369842529297
