model_name,method,camera,seed,eval_task_success,eval_grasp_success,denoise_index,timestep,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,visual_total,language_mass,state_mass,suffix_mass,other_mass,x_t_norm,v_t_norm,suffix_hidden_norm
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,0,1.0,3,expert_cross,50,177,50,0.32088908553123474,0.21409578621387482,0.5349848717451096,0.16459250450134277,0.30042263865470886,0.0,0.0,38.880435943603516,21.503576278686523,189.7292938232422
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,0,1.0,7,expert_cross,50,177,50,0.2563939690589905,0.34550487995147705,0.6018988490104675,0.246200293302536,0.15190085768699646,0.0,0.0,38.880435943603516,21.503576278686523,189.7292938232422
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,0,1.0,11,expert_cross,50,177,50,0.207946315407753,0.24706986546516418,0.4550161808729172,0.46074628829956055,0.08423751592636108,0.0,1.4901161193847656e-08,38.880435943603516,21.503576278686523,189.7292938232422
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,1,0.8999999761581421,3,expert_cross,50,177,50,0.3197425603866577,0.21476349234580994,0.5345060527324677,0.16455720365047455,0.3009366989135742,0.0,4.470348358154297e-08,38.248008728027344,21.431249618530273,189.7379913330078
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,1,0.8999999761581421,7,expert_cross,50,177,50,0.25689783692359924,0.34294775128364563,0.5998455882072449,0.24791105091571808,0.15224333107471466,0.0,2.9802322387695312e-08,38.248008728027344,21.431249618530273,189.7379913330078
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,1,0.8999999761581421,11,expert_cross,50,177,50,0.2058839052915573,0.2440824806690216,0.4499663859605789,0.4643746018409729,0.08565894514322281,0.0,6.705522537231445e-08,38.248008728027344,21.431249618530273,189.7379913330078
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,2,0.800000011920929,3,expert_cross,50,177,50,0.31800195574760437,0.21536891162395477,0.5333708673715591,0.16469226777553558,0.3019368350505829,0.0,2.9802322387695312e-08,37.73728942871094,21.551223754882812,189.7356719970703
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,2,0.800000011920929,7,expert_cross,50,177,50,0.25767818093299866,0.3420160412788391,0.5996942222118378,0.24847568571567535,0.15183009207248688,0.0,0.0,37.73728942871094,21.551223754882812,189.7356719970703
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,2,0.800000011920929,11,expert_cross,50,177,50,0.20519793033599854,0.24353374540805817,0.4487316757440567,0.4652382433414459,0.08603005111217499,0.0,2.9802322387695312e-08,37.73728942871094,21.551223754882812,189.7356719970703
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,3,0.699999988079071,3,expert_cross,50,177,50,0.31658288836479187,0.2167222499847412,0.5333051383495331,0.164311945438385,0.3023829162120819,0.0,0.0,37.32304000854492,21.56664276123047,189.73497009277344
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,3,0.699999988079071,7,expert_cross,50,177,50,0.25880303978919983,0.3408379852771759,0.5996410250663757,0.24895872175693512,0.15140028297901154,0.0,0.0,37.32304000854492,21.56664276123047,189.73497009277344
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,3,0.699999988079071,11,expert_cross,50,177,50,0.20460525155067444,0.2435179501771927,0.4481232017278671,0.46613427996635437,0.0857425257563591,0.0,0.0,37.32304000854492,21.56664276123047,189.73497009277344
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,4,0.6000000238418579,3,expert_cross,50,177,50,0.31446874141693115,0.21865655481815338,0.5331252962350845,0.16392646729946136,0.3029482662677765,0.0,0.0,36.99485778808594,21.686628341674805,189.7314453125
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,4,0.6000000238418579,7,expert_cross,50,177,50,0.2609172761440277,0.33921384811401367,0.6001311242580414,0.24921175837516785,0.15065713226795197,0.0,0.0,36.99485778808594,21.686628341674805,189.7314453125
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,4,0.6000000238418579,11,expert_cross,50,177,50,0.2040410190820694,0.24301713705062866,0.44705815613269806,0.4673324525356293,0.08560940623283386,0.0,0.0,36.99485778808594,21.686628341674805,189.7314453125
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,5,0.5,3,expert_cross,50,177,50,0.31262120604515076,0.22023728489875793,0.5328584909439087,0.16414521634578705,0.30299636721611023,0.0,0.0,36.74563217163086,22.06781005859375,189.73435974121094
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,5,0.5,7,expert_cross,50,177,50,0.26348182559013367,0.3366561233997345,0.6001379489898682,0.25104057788848877,0.14882147312164307,0.0,0.0,36.74563217163086,22.06781005859375,189.73435974121094
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,5,0.5,11,expert_cross,50,177,50,0.2030402570962906,0.24172590672969818,0.44476616382598877,0.47048985958099365,0.084743931889534,0.0,4.470348358154297e-08,36.74563217163086,22.06781005859375,189.73435974121094
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,6,0.4000000059604645,3,expert_cross,50,177,50,0.31037354469299316,0.22383129596710205,0.5342048406600952,0.16383664309978485,0.30195853114128113,0.0,0.0,36.577369689941406,22.506668090820312,189.73330688476562
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,6,0.4000000059604645,7,expert_cross,50,177,50,0.26625242829322815,0.33520039916038513,0.6014528274536133,0.2530643343925476,0.1454828828573227,0.0,0.0,36.577369689941406,22.506668090820312,189.73330688476562
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,6,0.4000000059604645,11,expert_cross,50,177,50,0.2043353021144867,0.24234658479690552,0.4466818869113922,0.46997106075286865,0.08334703743457794,0.0,1.4901161193847656e-08,36.577369689941406,22.506668090820312,189.73330688476562
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,7,0.30000001192092896,3,expert_cross,50,177,50,0.3082613945007324,0.22774700820446014,0.5360084027051926,0.16368958353996277,0.30030199885368347,0.0,1.4901161193847656e-08,36.4814567565918,22.982877731323242,189.73638916015625
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,7,0.30000001192092896,7,expert_cross,50,177,50,0.2717908024787903,0.3307870328426361,0.6025778353214264,0.25547540187835693,0.14194676280021667,0.0,0.0,36.4814567565918,22.982877731323242,189.73638916015625
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,7,0.30000001192092896,11,expert_cross,50,177,50,0.206767737865448,0.2443341314792633,0.4511018693447113,0.46811774373054504,0.08078031986951828,0.0,6.705522537231445e-08,36.4814567565918,22.982877731323242,189.73638916015625
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,8,0.20000000298023224,3,expert_cross,50,177,50,0.3070756494998932,0.2336004674434662,0.5406761169433594,0.16477316617965698,0.29455071687698364,0.0,0.0,36.41688919067383,24.071115493774414,189.7350616455078
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,8,0.20000000298023224,7,expert_cross,50,177,50,0.2774604856967926,0.3257944881916046,0.6032549738883972,0.26009923219680786,0.13664577901363373,0.0,1.4901161193847656e-08,36.41688919067383,24.071115493774414,189.7350616455078
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,8,0.20000000298023224,11,expert_cross,50,177,50,0.21139949560165405,0.2481747269630432,0.45957422256469727,0.4633495807647705,0.07707620412111282,0.0,0.0,36.41688919067383,24.071115493774414,189.7350616455078
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,9,0.10000000149011612,3,expert_cross,50,177,50,0.30925774574279785,0.24538706243038177,0.5546448081731796,0.16984838247299194,0.2755068242549896,0.0,0.0,36.32209014892578,26.4335880279541,189.73890686035156
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,9,0.10000000149011612,7,expert_cross,50,177,50,0.28464293479919434,0.3166947364807129,0.6013376712799072,0.2680222988128662,0.13064002990722656,0.0,0.0,36.32209014892578,26.4335880279541,189.73890686035156
ours_v1_corner_12k,ours_v1,"corner,gripperPOV",10043,20.0,90.0,9,0.10000000149011612,11,expert_cross,50,177,50,0.22516489028930664,0.2574831247329712,0.48264801502227783,0.4485704302787781,0.06878159940242767,0.0,0.0,36.32209014892578,26.4335880279541,189.73890686035156
