camera,model_a,model_b,denoise_index,timestep,v_t_l2,v_t_cosine,x_t_l2,hidden_cosine
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,0,1.0,5.299884796142578,0.9742574095726013,0.0,0.9689660668373108
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,1,0.8999999761581421,5.339294910430908,0.9734913110733032,0.5299885272979736,0.967398464679718
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,2,0.800000011920929,5.5263566970825195,0.971878170967102,1.0603331327438354,0.9655238389968872
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,3,0.699999988079071,5.757669925689697,0.9693442583084106,1.6057223081588745,0.963295042514801
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,4,0.6000000238418579,5.987539291381836,0.9671117663383484,2.1702749729156494,0.9600228071212769
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,5,0.5,6.482266426086426,0.9625229239463806,2.749990463256836,0.9561134576797485
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,6,0.4000000059604645,7.167652606964111,0.9556605219841003,3.372638702392578,0.9503629207611084
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,7,0.30000001192092896,8.462822914123535,0.9404566884040833,4.045316219329834,0.9415909051895142
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,8,0.20000000298023224,10.099204063415527,0.921913743019104,4.804655075073242,0.9283574819564819
"corner,gripperPOV",ours_v1_corner_12k,ours_v2_corner_12k,9,0.10000000149011612,11.817923545837402,0.9084458351135254,5.64525032043457,0.9097046852111816
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,0,1.0,10.289749145507812,0.9030914902687073,0.0,0.9337468147277832
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,1,0.8999999761581421,10.555085182189941,0.8964351415634155,1.028975009918213,0.9308106899261475
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,2,0.800000011920929,10.94876480102539,0.8900567889213562,2.0819754600524902,0.9264048337936401
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,3,0.699999988079071,11.333050727844238,0.8826867938041687,3.1717658042907715,0.9213740825653076
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,4,0.6000000238418579,11.8009672164917,0.8750887513160706,4.297016143798828,0.9148094654083252
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,5,0.5,12.468385696411133,0.8634119629859924,5.46060848236084,0.9055790901184082
"corner,gripperPOV",ours_v1_corner_12k,ours_v3_corner_12k,6,0.4000000059604645,13.286151885986328,0.850980281829834,6.681553363800049,0.8931125402450562
