model_name,method,camera,seed,eval_task_success,eval_grasp_success,denoise_index,timestep,layer,attention_source,query_length,key_length,query_count,camera1_mass,camera2_mass,visual_total,language_mass,state_mass,suffix_mass,other_mass,x_t_norm,v_t_norm,suffix_hidden_norm
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,0,1.0,3,expert_cross,50,177,50,0.31178542971611023,0.26952576637268066,0.5813111960887909,0.1053672581911087,0.3133215606212616,0.0,0.0,38.880435943603516,20.28502082824707,189.73533630371094
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,0,1.0,7,expert_cross,50,177,50,0.27642685174942017,0.2564328610897064,0.5328597128391266,0.2971477210521698,0.16999253630638123,0.0,2.9802322387695312e-08,38.880435943603516,20.28502082824707,189.73533630371094
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,0,1.0,11,expert_cross,50,177,50,0.3233504295349121,0.30966120958328247,0.6330116391181946,0.323647141456604,0.04334121569991112,0.0,3.725290298461914e-09,38.880435943603516,20.28502082824707,189.73533630371094
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,1,0.8999999761581421,3,expert_cross,50,177,50,0.3109689950942993,0.2697015106678009,0.5806705057621002,0.10576999932527542,0.31355947256088257,0.0,2.2351741790771484e-08,38.19954299926758,20.242046356201172,189.73995971679688
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,1,0.8999999761581421,7,expert_cross,50,177,50,0.27524203062057495,0.2535130977630615,0.5287551283836365,0.3003188371658325,0.1709260195493698,0.0,1.4901161193847656e-08,38.19954299926758,20.242046356201172,189.73995971679688
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,1,0.8999999761581421,11,expert_cross,50,177,50,0.32280513644218445,0.3068399727344513,0.6296451091766357,0.32698139548301697,0.04337352141737938,0.0,0.0,38.19954299926758,20.242046356201172,189.73995971679688
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,2,0.800000011920929,3,expert_cross,50,177,50,0.3098149299621582,0.26926037669181824,0.5790753066539764,0.1062597781419754,0.31466495990753174,0.0,0.0,37.63080978393555,20.35570526123047,189.73910522460938
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,2,0.800000011920929,7,expert_cross,50,177,50,0.27382683753967285,0.2504051923751831,0.524232029914856,0.3036779463291168,0.1720900535583496,0.0,0.0,37.63080978393555,20.35570526123047,189.73910522460938
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,2,0.800000011920929,11,expert_cross,50,177,50,0.32220911979675293,0.30678901076316833,0.6289981305599213,0.32784000039100647,0.04316186159849167,0.0,7.450580596923828e-09,37.63080978393555,20.35570526123047,189.73910522460938
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,3,0.699999988079071,3,expert_cross,50,177,50,0.30933743715286255,0.26926732063293457,0.5786047577857971,0.10674020648002625,0.314655065536499,0.0,0.0,37.12871170043945,20.479637145996094,189.7317352294922
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,3,0.699999988079071,7,expert_cross,50,177,50,0.2744705080986023,0.24780045449733734,0.5222709625959396,0.3061964809894562,0.17153261601924896,0.0,0.0,37.12871170043945,20.479637145996094,189.7317352294922
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,3,0.699999988079071,11,expert_cross,50,177,50,0.3211377263069153,0.3071291446685791,0.6282668709754944,0.3285495936870575,0.04318351671099663,0.0,1.862645149230957e-08,37.12871170043945,20.479637145996094,189.7317352294922
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,4,0.6000000238418579,3,expert_cross,50,177,50,0.3077476918697357,0.2695743441581726,0.5773220360279083,0.10775534808635712,0.31492260098457336,0.0,1.4901161193847656e-08,36.6878547668457,20.75330352783203,189.73548889160156
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,4,0.6000000238418579,7,expert_cross,50,177,50,0.27420490980148315,0.24472740292549133,0.5189323127269745,0.3078080713748932,0.1732596457004547,0.0,0.0,36.6878547668457,20.75330352783203,189.73548889160156
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,4,0.6000000238418579,11,expert_cross,50,177,50,0.3212149143218994,0.3072482645511627,0.6284631788730621,0.3283076286315918,0.04322923347353935,0.0,0.0,36.6878547668457,20.75330352783203,189.73548889160156
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,5,0.5,3,expert_cross,50,177,50,0.3072594106197357,0.26955363154411316,0.5768130421638489,0.10939688980579376,0.31379005312919617,0.0,1.4901161193847656e-08,36.32065963745117,21.104190826416016,189.74183654785156
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,5,0.5,7,expert_cross,50,177,50,0.27395886182785034,0.24313436448574066,0.517093226313591,0.3105805516242981,0.1723262071609497,0.0,1.4901161193847656e-08,36.32065963745117,21.104190826416016,189.74183654785156
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,5,0.5,11,expert_cross,50,177,50,0.32098641991615295,0.30802059173583984,0.6290070116519928,0.32756978273391724,0.043423231691122055,0.0,0.0,36.32065963745117,21.104190826416016,189.74183654785156
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,6,0.4000000059604645,3,expert_cross,50,177,50,0.3065685033798218,0.27053675055503845,0.5771052539348602,0.11204634606838226,0.3108484148979187,0.0,0.0,36.016441345214844,21.69188117980957,189.73291015625
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,6,0.4000000059604645,7,expert_cross,50,177,50,0.27289366722106934,0.24129268527030945,0.5141863524913788,0.31395426392555237,0.17185933887958527,0.0,4.470348358154297e-08,36.016441345214844,21.69188117980957,189.73291015625
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,6,0.4000000059604645,11,expert_cross,50,177,50,0.3208226263523102,0.31128165125846863,0.6321042776107788,0.3249760866165161,0.042919620871543884,0.0,1.4901161193847656e-08,36.016441345214844,21.69188117980957,189.73291015625
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,7,0.30000001192092896,3,expert_cross,50,177,50,0.3077624440193176,0.27171412110328674,0.5794765651226044,0.11527705937623978,0.30524635314941406,0.0,2.2351741790771484e-08,35.76559066772461,22.424278259277344,189.7458953857422
uniform_corner_12k,uniform,"corner,gripperPOV",10043,28.2,92.5,7,0.30000001192092896,7,expert_cross,50,177,50,0.2725227475166321,0.23911818861961365,0.5116409361362457,0.3185914158821106,0.16976766288280487,0.0,0.0,35.76559066772461,22.424278259277344,189.7458953857422
