episode_id,deminf_score,num_timestep_samples,raw_score_mean,normalized_score_mean,rank
38,0.4937243472712381,177,-6.949900817511894,0.4937243472712381,1
37,0.4883355323925323,170,-6.944790619494869,0.4883355323925323,2
239,0.4677024345870343,179,-6.968543648497796,0.4677024345870343,3
370,0.46380593147673865,170,-6.968444212745218,0.46380593147673865,4
373,0.460504613014655,186,-6.970504897469689,0.460504613014655,5
60,0.45998339840701846,170,-6.97878275198095,0.45998339840701846,6
217,0.45928723079142925,168,-6.975717477382176,0.45928723079142925,7
170,0.4540690442832359,165,-6.978653392406424,0.4540690442832359,8
29,0.4495943154570194,175,-6.987247152782621,0.4495943154570194,9
186,0.43889430430305165,189,-6.987015941996634,0.43889430430305165,10
362,0.4337757689948038,183,-6.991732764113796,0.4337757689948038,11
122,0.43272678672895454,157,-6.99977306600842,0.43272678672895454,12
72,0.42530741568087616,159,-7.004485625141072,0.42530741568087616,13
189,0.42167234429499506,163,-7.0105374644382845,0.42167234429499506,14
49,0.4113955831095839,193,-7.009398457093972,0.4113955831095839,15
294,0.40612015897377635,182,-7.010672991965717,0.40612015897377635,16
44,0.4022862344885119,158,-7.02564358409447,0.4022862344885119,17
392,0.4015012668126195,186,-7.026766269437728,0.4015012668126195,18
199,0.39268960702081634,176,-7.0334943722594865,0.39268960702081634,19
377,0.38940351961428304,162,-7.036449794416074,0.38940351961428304,20
0,0.38783882023559857,158,-7.038580906542042,0.38783882023559857,21
159,0.38503595401873286,152,-7.040904105755321,0.38503595401873286,22
229,0.3843451719471727,181,-7.0414766712083345,0.3843451719471727,23
103,0.3830724689407801,187,-7.036841173222996,0.3830724689407801,24
271,0.3796139329746855,166,-7.0440922041973435,0.3796139329746855,25
295,0.37937115757280415,172,-7.045590505119441,0.37937115757280415,26
306,0.37843340366731343,151,-7.045478505014584,0.37843340366731343,27
150,0.3679462217129755,186,-7.055007433805842,0.3679462217129755,28
250,0.36657334310493916,171,-7.055795412082189,0.36657334310493916,29
137,0.36606378396207057,175,-7.056000919342041,0.36606378396207057,30
173,0.36073451417868574,169,-7.058809646252814,0.36073451417868574,31
126,0.3592359654279743,187,-7.061888105729047,0.3592359654279743,32
144,0.35808269765710893,186,-7.062974096626363,0.35808269765710893,33
194,0.35575166293903443,166,-7.058529838500731,0.35575166293903443,34
197,0.3539116207272061,185,-7.066701992997179,0.3539116207272061,35
249,0.3533690558725723,180,-7.0671517063070235,0.3533690558725723,36
11,0.3509878167477824,173,-7.066749240162285,0.3509878167477824,37
315,0.3479014010039991,158,-7.071588754653931,0.3479014010039991,38
179,0.3476951240471819,175,-7.071080665588379,0.3476951240471819,39
331,0.34582645691165254,172,-7.0697404802307595,0.34582645691165254,40
4,0.3437219586718799,181,-7.075147852713232,0.3437219586718799,41
85,0.3430927048378778,159,-7.076186423031789,0.3430927048378778,42
268,0.34143066593989474,179,-7.074819698014073,0.34143066593989474,43
110,0.34039461519352426,169,-7.077792308739657,0.34039461519352426,44
247,0.33734320361788134,184,-7.078551394352015,0.33734320361788134,45
213,0.3353242062311372,176,-7.081568186030243,0.3353242062311372,46
88,0.3296974421539,195,-7.080198497446174,0.3296974421539,47
353,0.3279161571503382,170,-7.087584838680193,0.3279161571503382,48
94,0.3267124081243188,158,-7.085299180026798,0.3267124081243188,49
278,0.3226427328006467,181,-7.092619696594295,0.3226427328006467,50
254,0.3225563120089074,160,-7.0911299357811615,0.3225563120089074,51
228,0.32025756967853924,168,-7.094516346378932,0.32025756967853924,52
108,0.32016476971015706,183,-7.092742694097356,0.32016476971015706,53
148,0.318586212578144,178,-7.084669693578941,0.318586212578144,54
328,0.3155058667683279,164,-7.090199837839701,0.3155058667683279,55
335,0.3135142490591866,167,-7.099164172798812,0.3135142490591866,56
207,0.31258924243615,169,-7.1009526882886425,0.31258924243615,57
378,0.31230570208342057,181,-7.101187705115499,0.31230570208342057,58
164,0.31197639788759024,172,-7.098518051842386,0.31197639788759024,59
17,0.30971826483979153,191,-7.088461969951476,0.30971826483979153,60
133,0.3074773488335825,174,-7.102557090963897,0.3074773488335825,61
352,0.3036891914029601,184,-7.108329633871715,0.3036891914029601,62
57,0.3035910866033452,172,-7.107717120370199,0.3035910866033452,63
166,0.30009315074366094,189,-7.089109999372425,0.30009315074366094,64
36,0.2993555812026628,189,-7.111921614019539,0.2993555812026628,65
114,0.296443438824096,171,-7.11543564303809,0.296443438824096,66
240,0.29484649009611047,168,-7.113195101420085,0.29484649009611047,67
39,0.29212758750437984,183,-7.1162421994304825,0.29212758750437984,68
243,0.28945753439518485,167,-7.120125763906452,0.28945753439518485,69
132,0.28839066986278233,194,-7.121010051150503,0.28839066986278233,70
398,0.28775044770370356,179,-7.1213671890273,0.28775044770370356,71
24,0.2862479879031791,165,-7.119673530501549,0.2862479879031791,72
265,0.2862452205677447,190,-7.088278177328276,0.2862452205677447,73
56,0.2840022842719289,165,-7.123958728289363,0.2840022842719289,74
388,0.2837367966823571,193,-7.123263892732136,0.2837367966823571,75
220,0.28137430733365937,166,-7.123708534432223,0.28137430733365937,76
99,0.2809953178533572,190,-7.098902570992185,0.2809953178533572,77
45,0.2780906218949688,172,-7.127428270125574,0.2780906218949688,78
97,0.27807346873183386,177,-7.1295616236110195,0.27807346873183386,79
193,0.27762798647854964,191,-7.1288757249322865,0.27762798647854964,80
