episode_id,object_x,object_y,object_z,success,selected_method,window_start,window_end
0,-0.012482557,0.6891773,0.02,True,temporal_multi_window,0.15,0.3
1,-0.05910955,0.68781173,0.02,True,temporal_multi_window,0.15,0.3
2,-0.059070274,0.6619271,0.02,True,temporal_multi_window,0.15,0.3
3,-0.07488294,0.62072426,0.02,True,temporal_multi_window,0.15,0.3
4,0.09525489,0.600623,0.02,True,temporal_multi_window,0.15,0.3
5,0.05318157,0.6518418,0.02,True,temporal_multi_window,0.15,0.3
6,0.0059634726,0.64188075,0.02,True,temporal_multi_window,0.15,0.3
7,0.00022409273,0.6072051,0.02,True,temporal_multi_window,0.15,0.3
8,0.052179117,0.67123747,0.02,True,temporal_multi_window,0.15,0.3
9,-0.016298363,0.6248101,0.02,True,temporal_multi_window,0.15,0.3
10,-0.06038743,0.67605305,0.02,True,temporal_multi_window,0.15,0.3
11,-0.097443834,0.64873713,0.02,True,temporal_multi_window,0.15,0.3
12,0.08884503,0.6852735,0.02,True,temporal_multi_window,0.15,0.3
13,-0.0882975,0.6857061,0.02,True,temporal_multi_window,0.15,0.3
14,0.0026233424,0.6318284,0.02,True,temporal_multi_window,0.15,0.3
15,-0.038816217,0.63044745,0.02,True,temporal_multi_window,0.15,0.3
16,0.037745234,0.6163731,0.02,True,temporal_multi_window,0.15,0.3
17,0.02750418,0.6575603,0.02,True,temporal_multi_window,0.15,0.3
18,0.033220332,0.69878954,0.02,True,temporal_multi_window,0.15,0.3
19,0.009111991,0.6234076,0.02,True,temporal_multi_window,0.15,0.3
20,0.056600723,0.6850328,0.02,True,temporal_multi_window,0.15,0.3
21,-0.03954562,0.666391,0.02,True,temporal_multi_window,0.15,0.3
22,-0.045893434,0.66910416,0.02,True,temporal_multi_window,0.15,0.3
23,0.07698951,0.63004094,0.02,True,temporal_multi_window,0.15,0.3
24,0.099291146,0.6316347,0.02,True,temporal_multi_window,0.15,0.3
25,0.03699375,0.6437611,0.02,True,temporal_multi_window,0.15,0.3
26,-0.04609895,0.6496192,0.02,True,temporal_multi_window,0.15,0.3
27,0.07863887,0.6209715,0.02,True,temporal_multi_window,0.15,0.3
28,-0.063461326,0.6853513,0.02,True,temporal_multi_window,0.15,0.3
29,-0.08832454,0.6409669,0.02,True,temporal_multi_window,0.15,0.3
30,0.0983502,0.6235058,0.02,True,temporal_multi_window,0.15,0.3
31,0.08167476,0.60686386,0.02,True,temporal_multi_window,0.15,0.3
32,-0.07978269,0.6928488,0.02,True,temporal_multi_window,0.15,0.3
33,-0.09606771,0.6953252,0.02,True,temporal_multi_window,0.15,0.3
34,-0.014685123,0.62530863,0.02,True,temporal_multi_window,0.15,0.3
35,0.025287446,0.6276788,0.02,True,temporal_multi_window,0.15,0.3
36,-0.06268864,0.6259151,0.02,True,temporal_multi_window,0.15,0.3
37,-0.07931249,0.67454755,0.02,True,temporal_multi_window,0.15,0.3
38,-0.059974633,0.6387388,0.02,True,temporal_multi_window,0.15,0.3
39,-0.007218319,0.64714456,0.02,True,temporal_multi_window,0.15,0.3
40,0.0052799047,0.66238123,0.02,True,temporal_multi_window,0.15,0.3
41,-0.06181387,0.6668516,0.02,True,temporal_multi_window,0.15,0.3
42,0.06648853,0.62123394,0.02,True,temporal_multi_window,0.15,0.3
43,0.03321804,0.6541162,0.02,True,temporal_multi_window,0.15,0.3
44,-0.02124409,0.6409073,0.02,True,temporal_multi_window,0.15,0.3
45,-0.0902956,0.6163325,0.02,True,temporal_multi_window,0.15,0.3
46,-0.09142691,0.6440867,0.02,True,temporal_multi_window,0.15,0.3
47,0.02911237,0.64145994,0.02,True,temporal_multi_window,0.15,0.3
48,0.07294208,0.64475125,0.02,True,temporal_multi_window,0.15,0.3
49,0.009393176,0.6210424,0.02,True,temporal_multi_window,0.15,0.3
50,-0.01836056,0.6771894,0.02,True,temporal_multi_window,0.15,0.3
51,-0.06846596,0.6387973,0.02,True,temporal_multi_window,0.15,0.3
52,-0.089221954,0.6960654,0.02,True,temporal_multi_window,0.15,0.3
53,0.06549125,0.62645423,0.02,True,temporal_multi_window,0.15,0.3
54,0.06027625,0.6757312,0.02,True,temporal_multi_window,0.15,0.3
55,0.072526075,0.60411,0.02,True,temporal_multi_window,0.15,0.3
56,-0.05043009,0.64586115,0.02,True,temporal_multi_window,0.15,0.3
57,-0.015897235,0.65821695,0.02,True,temporal_multi_window,0.15,0.3
58,-0.038239107,0.6374876,0.02,True,temporal_multi_window,0.15,0.3
59,-0.04874389,0.65639806,0.02,True,temporal_multi_window,0.15,0.3
60,-0.024117017,0.6010581,0.02,True,temporal_multi_window,0.15,0.3
61,0.08472887,0.6629444,0.02,True,temporal_multi_window,0.15,0.3
62,0.008560058,0.6228181,0.02,True,temporal_multi_window,0.15,0.3
63,-0.048782643,0.65430933,0.02,True,temporal_multi_window,0.15,0.3
64,-0.037332527,0.62948596,0.02,True,temporal_multi_window,0.15,0.3
65,0.039862752,0.6771511,0.02,True,temporal_multi_window,0.15,0.3
66,0.051683277,0.65576184,0.02,True,temporal_multi_window,0.15,0.3
67,-0.0495857,0.6315077,0.02,True,temporal_multi_window,0.15,0.3
68,0.06145044,0.6094838,0.02,True,temporal_multi_window,0.15,0.3
69,-0.079004586,0.60584605,0.02,True,temporal_multi_window,0.15,0.3
70,0.018265674,0.6310011,0.02,True,temporal_multi_window,0.15,0.3
71,0.04452086,0.69956946,0.02,True,temporal_multi_window,0.15,0.3
72,0.043214757,0.6173334,0.02,True,temporal_multi_window,0.15,0.3
73,-0.051203996,0.65720946,0.02,True,temporal_multi_window,0.15,0.3
