rank,method_name,position_correlation,d_bar_ratio,cluster_separation,overall_score,start_pct,end_pct,window_length_pct,weighting,cache_key
1,temporal_multi_window,0.1117732641509993,0.0,0.0,0.0670639584905995,0.15,0.3,0.15,uniform,dbbc9e62e704261e9c2d969b399711a4
2,temporal_multi_window,0.1117732641509993,0.0,0.0,0.0670639584905995,0.25,0.4,0.15,uniform,a6a35412a9076f1632ac5a3f8ebfb55f
3,temporal_multi_window,0.1117732641509993,0.0,0.0,0.0670639584905995,0.6,0.75,0.15,uniform,46aacbb189f1e3d7ecc111a37146174f
4,temporal_multi_window,0.1117732641509993,0.0,0.0,0.0670639584905995,0.7,0.85,0.15,uniform,757af0398c767ce28e828ecd5fa79d79
5,temporal_multi_window,0.0964968881309893,0.1023302923706914,0.0,0.0783641913527318,0.15,0.7,0.5499999999999999,uniform,c05bc614b50610eb59e071067605afea
6,temporal_multi_window,0.091379317902267,0.1020007918781987,0.0,0.0752277491169999,0.3,0.85,0.55,uniform,aa7d4fe57717c644ce2bfc18afcbec6c
7,temporal_multi_window,0.0901724460465564,0.1005314148650741,0.0,0.0742097506009487,0.3,0.65,0.35,uniform,c19a595001ef51295c8df547c86db8e8
8,temporal_multi_window,0.0900966897387483,0.1003949113439358,0.0,0.0741369961120361,0.35,0.7,0.35,uniform,2c46a0117c43095df20f0c7723bcbae5
9,temporal_window,0.0896138773901125,0.1016898683770535,288.4053546951869,57.75517723914685,0.5,0.95,0.4499999999999999,uniform,e0dadf45672d8b55983efa38b583f697
10,temporal_multi_window,0.0878864327150109,0.1002993208277561,0.0,0.0727917237945577,0.45,0.6,0.1499999999999999,uniform,a250b01374e9ffb129448edad6407eec
11,temporal_multi_window,0.0860948248532703,0.0999581108959714,0.0,0.0716485170911564,0.1,0.8,0.7000000000000001,uniform,c1c2a23198b8b5a58a37809cc318fa29
12,temporal_multi_window,0.0852284220281806,0.0823036367745502,0.0,0.0675977805718184,0.05,0.3,0.25,uniform,38bac779705a9b174bc5a835f3eed288
13,temporal_multi_window,0.0852284220281806,0.0823036367745502,0.0,0.0675977805718184,0.7,0.95,0.25,uniform,3d9140930ed0a65bee37a2d76cfd8eee
14,temporal_multi_window,0.0829192102747367,0.1021432577954335,0.0,0.0701801777239287,0.4,0.95,0.5499999999999999,uniform,cc339f77c2f3418cd7df7db6f680387e
15,temporal_multi_window,0.081207478926855,0.102078903291613,0.0,0.0691402680144356,0.2,0.75,0.55,uniform,c13153cf9d65c4034ecf7789eb0d6903
16,temporal_window,0.0795855377993947,0.1034719049658157,50.17127548885159,10.10270080144312,0.0,0.6,0.6,uniform,b31928670bff4c33e66f410edd2d7691
17,temporal_multi_window,0.0789405342474657,0.0,0.0,0.0473643205484794,0.55,0.9,0.35,uniform,8444a932466f5bc7e097fd013dd65551
18,temporal_multi_window,0.0775440613022819,0.0369617296805553,0.0,0.0539187827174802,0.45,1.0,0.55,uniform,ddd7645314402e89743f313432125996
19,temporal_window,0.0760301507297415,0.1048881397002202,30.232902065583527,6.113176131494595,0.3,0.9,0.6000000000000001,uniform,991cf0832c0b496a7d8b9312f1cacccd
20,temporal_multi_window,0.0731613008542282,0.1018457119405204,0.0,0.064265922900641,0.3,0.9,0.6000000000000001,uniform,5b47e00c82f7eb886367164fac2fcc56
21,temporal_multi_window,0.0730932324759794,0.101400302367299,0.0,0.0641359999590474,0.35,1.0,0.65,uniform,77228b35d4681f19d8edd4c9da276545
22,temporal_window,0.0730448868432643,0.1059651350802788,79.04170342234079,15.873360643590171,0.35,0.95,0.6,uniform,edfd7daca59c98eefc6beb09d051278b
23,temporal_window,0.0710658658396173,0.0,0.0,0.0426395195037704,0.3,0.45,0.15,uniform,e968050c2a86f591c45d3e3c13e5773a
24,temporal_multi_window,0.0708514121664668,0.0994834562311159,0.0,0.0624075385461032,0.15,0.9,0.75,uniform,c574161b37fc06a066af69a4065d0357
25,temporal_window,0.0690757628507396,0.0259090026719936,0.0,0.0466272582448425,0.75,0.9,0.15,uniform,f30a5236cae1aeeab2ea0d765b175b91
26,temporal_multi_window,0.068591599944519,0.10026510595389,0.0,0.0612079811574894,0.45,0.7,0.2499999999999999,uniform,477f649aa3202f9e75432deb7f519f59
27,temporal_multi_window,0.0682584045678736,0.1002468458553227,0.0,0.0610044119117887,0.4,0.75,0.35,uniform,bd6a696e148c8cfb4653dee4e31a69aa
28,temporal_window,0.0682513477572768,0.0073736193698711,0.0,0.0424255325283403,0.0,0.45,0.45,uniform,e2f7f0db99ffabd4032d23c4387becd5
29,temporal_window,0.0679620809460005,0.1009762229611705,0.0,0.0609724931598344,0.4,0.8,0.4,uniform,a0dc4480f0e264e9a6888a51e344c310
30,temporal_window,0.0678945895296074,0.1054598299006369,57.71754760786737,11.605338241271369,0.25,0.85,0.6,uniform,59eaaab6d3606f8ef963cb2ac0600c9c
31,temporal_window,0.0664417131874828,0.0995150405620513,0.0,0.0597680360248999,0.15,0.6,0.4499999999999999,uniform,72c8d8d876869f4850c24501e2ea0889
32,temporal_window,0.0663694176214519,0.1002585663903481,1279.7194516644508,256.00376369674115,0.25,0.7,0.4499999999999999,uniform,4c69c2e92dfa68b3b0ddd7c53a79d0d4
33,temporal_window,0.0659793131632402,0.0,0.0,0.0395875878979441,0.1,0.25,0.15,uniform,a33088e726ce32a87e4b23ebcb81863e
34,temporal_multi_window,0.0654899885072916,0.0946912517191499,0.0,0.0582322434482049,0.05,0.6,0.5499999999999999,uniform,ce49c1b568787ac5a6a8f694f81975b2
35,temporal_window,0.0649965345659869,0.1018465199024162,0.0,0.0593672247200754,0.5,0.85,0.35,uniform,adfad6278bee3e28ab7dbd5c45c61fbb
36,temporal_multi_window,0.0646835113967323,0.0,0.0,0.0388101068380393,0.15,0.4,0.25,uniform,4b9a5cf240dfc50e0e0806bf3ae3fef4
37,temporal_multi_window,0.0646835113967323,0.0,0.0,0.0388101068380393,0.6,0.85,0.25,uniform,cfd10d4d5c62db8b79f1b9ac84f09b36
