episode_index,obj_x,obj_y,obj_z
0,-0.012482557,0.6891773,0.02
1,-0.05910955,0.68781173,0.02
2,-0.059070274,0.6619271,0.02
3,-0.07488294,0.62072426,0.02
4,0.09525489,0.600623,0.02
5,0.05318157,0.6518418,0.02
6,0.0059634726,0.64188075,0.02
7,0.00022409273,0.6072051,0.02
8,0.052179117,0.67123747,0.02
9,-0.016298363,0.6248101,0.02
10,-0.06038743,0.67605305,0.02
11,-0.097443834,0.64873713,0.02
12,0.08884503,0.6852735,0.02
13,-0.0882975,0.6857061,0.02
14,0.0026233424,0.6318284,0.02
15,-0.038816217,0.63044745,0.02
16,0.037745234,0.6163731,0.02
17,0.02750418,0.6575603,0.02
18,0.033220332,0.69878954,0.02
19,0.009111991,0.6234076,0.02
20,0.056600723,0.6850328,0.02
21,-0.03954562,0.666391,0.02
22,-0.045893434,0.66910416,0.02
23,0.07698951,0.63004094,0.02
24,0.099291146,0.6316347,0.02
25,0.03699375,0.6437611,0.02
26,-0.04609895,0.6496192,0.02
27,0.07863887,0.6209715,0.02
28,-0.063461326,0.6853513,0.02
29,-0.08832454,0.6409669,0.02
30,0.0983502,0.6235058,0.02
31,0.08167476,0.60686386,0.02
32,-0.07978269,0.6928488,0.02
33,-0.09606771,0.6953252,0.02
34,-0.014685123,0.62530863,0.02
35,0.025287446,0.6276788,0.02
36,-0.06268864,0.6259151,0.02
37,-0.07931249,0.67454755,0.02
38,-0.059974633,0.6387388,0.02
39,-0.007218319,0.64714456,0.02
40,0.0052799047,0.66238123,0.02
41,-0.06181387,0.6668516,0.02
42,0.06648853,0.62123394,0.02
43,0.03321804,0.6541162,0.02
44,-0.02124409,0.6409073,0.02
45,-0.0902956,0.6163325,0.02
46,-0.09142691,0.6440867,0.02
47,0.02911237,0.64145994,0.02
48,0.07294208,0.64475125,0.02
49,0.009393176,0.6210424,0.02
50,-0.01836056,0.6771894,0.02
51,-0.06846596,0.6387973,0.02
52,-0.089221954,0.6960654,0.02
53,0.06549125,0.62645423,0.02
54,0.06027625,0.6757312,0.02
55,0.072526075,0.60411,0.02
56,-0.05043009,0.64586115,0.02
57,-0.015897235,0.65821695,0.02
58,-0.038239107,0.6374876,0.02
59,-0.04874389,0.65639806,0.02
60,-0.024117017,0.6010581,0.02
61,0.08472887,0.6629444,0.02
62,0.008560058,0.6228181,0.02
63,-0.048782643,0.65430933,0.02
64,-0.037332527,0.62948596,0.02
65,0.039862752,0.6771511,0.02
66,0.051683277,0.65576184,0.02
67,-0.0495857,0.6315077,0.02
68,0.06145044,0.6094838,0.02
69,-0.079004586,0.60584605,0.02
70,0.018265674,0.6310011,0.02
71,0.04452086,0.69956946,0.02
72,0.043214757,0.6173334,0.02
73,-0.051203996,0.65720946,0.02
74,-0.083945826,0.61487705,0.02
75,-0.062430132,0.6618264,0.02
76,0.031261172,0.63694555,0.02
77,-0.03476981,0.6541068,0.02
78,0.06624698,0.62465674,0.02
79,0.0558348,0.681508,0.02
80,-0.05766933,0.6317266,0.02
81,-0.050357956,0.6509119,0.02
82,0.09948684,0.6832513,0.02
83,-0.022652786,0.6743409,0.02
84,-0.065282166,0.6258314,0.02
85,-0.025350051,0.63692784,0.02
86,0.017843565,0.6421647,0.02
87,0.009490587,0.67191535,0.02
88,0.043467678,0.62228197,0.02
89,-0.069480956,0.6480248,0.02
90,-0.03318977,0.66445917,0.02
91,0.030472549,0.65048504,0.02
92,-0.04169632,0.68352354,0.02
93,0.09987531,0.6750984,0.02
94,0.0023814295,0.6112752,0.02
95,0.044847537,0.6482087,0.02
96,-0.081519835,0.6561974,0.02
97,0.09526701,0.6929152,0.02
98,-0.022288095,0.63946426,0.02
99,-0.0404755,0.6046696,0.02
100,0.034149818,0.6825853,0.02
101,-0.038606755,0.68936133,0.02
102,-0.0665503,0.6312145,0.02
103,0.06453695,0.68215483,0.02
104,-0.018912096,0.69959044,0.02
105,-0.040633086,0.6002245,0.02
106,0.09488632,0.6857462,0.02
107,-0.030961758,0.60416746,0.02
108,0.07463919,0.61269647,0.02
109,-0.008166475,0.6018205,0.02
110,0.091002,0.6637223,0.02
111,-0.095504336,0.64202243,0.02
112,-0.08903885,0.68176776,0.02
113,0.06809419,0.64351207,0.02
114,-0.07335906,0.6521694,0.02
115,0.014623638,0.6614193,0.02
116,-0.09164787,0.6477994,0.02
117,-0.09091956,0.67597055,0.02
118,-0.073830344,0.6571919,0.02
119,-0.09144622,0.64199865,0.02
120,0.09691512,0.68544227,0.02
121,0.01115812,0.6745524,0.02
122,0.016616121,0.6214509,0.02
123,0.09615284,0.66848296,0.02
124,0.03359248,0.6395475,0.02
125,0.0013372222,0.6412826,0.02
126,0.016009035,0.60499966,0.02
127,-0.0117210485,0.6715549,0.02
128,0.05811987,0.66014427,0.02
129,0.07779787,0.60973924,0.02
130,-0.024030993,0.612645,0.02
131,-0.052106645,0.6254157,0.02
132,0.092424385,0.635624,0.02
133,-0.05948722,0.63111573,0.02
134,0.042334016,0.66652715,0.02
135,0.0041211355,0.6963956,0.02
136,-0.026349934,0.64796454,0.02
137,0.07836063,0.60889536,0.02
138,-0.023087181,0.61951244,0.02
139,-0.04166387,0.6250262,0.02
140,-0.081504434,0.65912783,0.02
141,0.05914717,0.62121314,0.02
142,0.05428782,0.6432288,0.02
143,-0.093371116,0.6008784,0.02
144,-0.008191236,0.6807376,0.02
145,0.019627916,0.6326684,0.02
146,-0.027433638,0.6006344,0.02
147,-0.022783395,0.6074266,0.02
148,-0.05465515,0.6914835,0.02
149,-0.005849524,0.64412344,0.02
