seed,group,v5_success,random_success,v5_grasp,random_grasp,obj_init_pos,goal_pos,v5_nearest_randvec_dist,random_nearest_randvec_dist,v5_nearest_visual_dist,random_nearest_visual_dist,v5_region,v5_region_selection_ratio,trace_action_divergence
61,random_success_v5_fail,False,True,False,False,"0.0020,0.6034,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,0.0
50,v5_success_random_fail,True,False,False,False,"0.0861,0.7482,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,0.0
42,both_success,True,True,False,False,"0.0644,0.7234,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
44,both_success,True,True,False,False,"0.0984,0.6969,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
46,both_success,True,True,True,False,"0.0484,0.6371,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
47,both_success,True,True,False,False,"0.0554,0.7233,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
48,both_success,True,True,False,True,"0.0381,0.7058,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
49,both_success,True,True,False,True,"0.0372,0.7078,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
52,both_success,True,True,True,True,"0.0398,0.6024,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
53,both_success,True,True,False,False,"0.0080,0.7209,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
54,both_success,True,True,False,False,"0.0721,0.6139,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
55,both_success,True,True,False,False,"0.0704,0.7421,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
56,both_success,True,True,False,False,"0.0907,0.6793,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
57,both_success,True,True,False,False,"0.0429,0.7090,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
59,both_success,True,True,False,False,"0.0006,0.7459,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
60,both_success,True,True,False,False,"0.0968,0.7487,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
43,both_fail,False,False,False,False,"0.0279,0.6418,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
45,both_fail,False,False,False,False,"0.0700,0.6630,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
51,both_fail,False,False,False,False,"0.0154,0.7123,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
58,both_fail,False,False,False,False,"0.0450,0.6310,0.0250","0.0000,0.8000,0.1700",NA,NA,NA,NA,unknown,0,NA
